user_id,rec_user_id,resolution,spath
106491656,17065828,0,0
81156497,26093443,0,5
22807202,13148624,0,3
15345641,46458969,0,0
50794086,69627729,0,0
35819449,11527774,0,4
37423698,52925709,0,7
55407749,12869499,0,3
39329287,49618685,0,4
14736592,44000161,0,0
20117710,9004191,0,5
20117710,9004191,0,5
102477216,108641520,0,0
13451587,11718962,0,3
99454533,38922078,0,0
77458580,55204247,0,0
15411580,33707429,0,4
105693,52792865,0,0
43539237,27822473,0,4
62727961,45361820,0,6
MBK14527112,62999610,0,0
20516944,5015352,0,5
20117710,61352652,0,4
20117710,61352652,0,4
57843714,31027185,0,0
73118750,54211012,0,3
73118750,54211012,0,3
3844401,27203646,0,4
MBK5470375,70013269,0,2
20117710,MBK12180820,0,6
20117710,MBK12180820,0,6
1062002,21136962,0,0
9810629,47523180,0,3
MBK9520112,28538587,0,0
67991397,74113367,0,0
42339726,VSP9909451,0,3
19303145,9394946,0,0
MBK7791432,141617,0,5
15345641,46458969,0,0
48595151,6196892,0,0
55378903,MBK9512901,0,0
109310452,68386883,0,0
34263549,98697229,0,4
47696721,MBK14415273,0,0
43385835,8034847,0,3
45955554,82530503,0,6
1475268,16462300,0,6
1059012,26968749,0,0
11702379,66771648,0,4
13608659,7613794,0,2
35681950,16896116,0,3
100895947,80923377,0,2
19303145,103704515,0,0
24455281,52469459,0,0
29377234,108497684,0,2
13608659,7613794,0,2
103917571,109596462,0,0
MBK11892141,101260806,0,7
83982659,249197,0,0
15774938,97802679,0,3
78078453,MBK28581347,0,5
44974686,127056,0,4
62282386,31761346,0,5
19303145,58776238,0,0
74724195,MBK14298810,0,4
54154927,21383928,0,2
1915424,472522,0,4
98939646,108470263,0,3
74875358,11562933,0,3
11936355,1650019,0,0
80387280,30241478,0,5
1207869,52862794,0,5
7923787,96924871,0,4
96591146,43589721,0,2
84939755,27228704,0,5
80328286,MBK8586553,0,0
106581540,14998129,0,6
22526822,73030445,0,0
89205065,94804599,0,0
71991461,23964983,0,3
9606821,48125402,0,6
21574558,96266000,0,3
96591146,43589721,0,2
21348875,79384366,0,0
MBK27892308,25990732,0,2
8811606,37446543,0,2
30937130,26669180,0,0
53382001,101916265,0,0
88187399,108256992,1,0
6001919,9630547,0,4
20117710,85009104,0,0
20117710,85009104,0,0
22100915,23429539,0,6
533325,29229695,0,4
MBK27892308,25990732,0,2
10702373,15663994,0,3
46159621,124849,0,6
97143106,28527530,0,4
62177493,86652426,0,0
12438277,MBK8808790,0,0
16738790,60093348,0,0
109106100,52527518,0,3
98246394,3787795,0,0
11715358,97054034,0,3
22370650,2441337,0,5
44333123,MBK6935286,0,0
49598581,108844884,0,0
5537125,VSP12853743,0,0
17993353,104454670,0,0
40623642,107780047,0,4
26467044,7300654,0,4
CRM31777138,29386819,0,0
13451587,98485926,0,3
101555223,48756707,0,0
76074727,57168569,0,0
1550856,55839266,0,5
100758956,109559511,0,0
89394185,68150393,0,3
108970795,23429735,0,5
20308786,100481540,0,5
59856119,40644925,0,0
13698558,53610367,0,4
89234411,39745296,0,0
84066625,17910156,0,4
VSP15614587,107157230,0,2
97699790,77398423,0,0
54866703,99363554,0,0
25046363,77421677,0,0
MBK11899339,93982428,0,2
5578934,58510084,0,0
4909377,6666041,0,0
95722196,76872743,0,0
49139706,83459292,0,3
27357114,24302810,0,4
50419699,21278234,0,0
98893757,MBK9719795,0,0
10048810,58084809,0,4
107206038,96243032,0,3
103839520,68685374,0,0
23451822,76376600,0,2
104866736,104866327,0,0
36473690,107974832,0,0
MBK29486507,96117677,0,5
13790880,108806371,0,5
61806067,58772885,0,4
98080861,71324860,0,4
55108910,68042390,0,5
53275935,52227139,0,0
23686686,89333010,0,3
53080516,23433758,0,6
9285292,28995386,0,4
MBK8350025,78482746,0,0
56221811,103667029,0,0
1773077,35345464,0,4
10580797,46487226,0,0
MBK9700247,61692530,0,0
MBK12794738,108803888,0,4
20814598,60324926,0,0
15410836,108734302,0,0
92764711,27864954,0,4
44064461,10245751,0,6
MBK15434303,10469385,0,4
14602361,9447393,0,0
90896496,81934462,0,0
16991105,51300391,0,4
38709749,25081054,0,3
15444657,62229175,0,5
33586455,107034807,0,0
MBK8526711,18838647,0,0
47833363,46167075,0,0
51062495,72888365,0,0
64276211,89188948,0,0
44064765,1699529,0,0
72194757,22771638,0,0
27056080,58511352,0,0
22139266,44939444,0,0
108255771,107020289,0,0
63018180,51743949,0,2
46166233,14334917,0,5
108027052,108027052,0,1
11155686,80604726,0,2
MBK18222188,20894326,0,0
41402605,8330623,0,0
MBK9414967,38445303,0,0
24623952,106641408,0,0
104010396,49488253,0,0
109566487,107543127,0,0
47690039,32796901,0,5
MBK6637931,78763901,0,0
8976898,9651907,0,6
14508051,104141883,0,0
40629047,9183280,0,0
27947806,4314774,0,4
80347118,30090087,0,6
16431306,44150385,0,3
